anio,nivel_geo,departamento,mes,valor
2009,departamento,Alta Verapaz,1,214
2009,departamento,Alta Verapaz,2,446
2009,departamento,Alta Verapaz,3,390
2009,departamento,Alta Verapaz,4,637
2009,departamento,Alta Verapaz,5,532
2009,departamento,Alta Verapaz,6,283
2009,departamento,Alta Verapaz,7,176
2009,departamento,Alta Verapaz,8,164
2009,departamento,Alta Verapaz,9,180
2009,departamento,Alta Verapaz,10,260
2009,departamento,Alta Verapaz,11,452
2009,departamento,Alta Verapaz,12,566
2009,departamento,Alta Verapaz,,4300
2009,departamento,Baja Verapaz,1,120
2009,departamento,Baja Verapaz,2,195
2009,departamento,Baja Verapaz,3,177
2009,departamento,Baja Verapaz,4,108
2009,departamento,Baja Verapaz,5,82
2009,departamento,Baja Verapaz,6,101
2009,departamento,Baja Verapaz,7,69
2009,departamento,Baja Verapaz,8,88
2009,departamento,Baja Verapaz,9,64
2009,departamento,Baja Verapaz,10,69
2009,departamento,Baja Verapaz,11,84
2009,departamento,Baja Verapaz,12,177
2009,departamento,Baja Verapaz,,1334
2009,departamento,Chimaltenango,1,225
2009,departamento,Chimaltenango,2,333
2009,departamento,Chimaltenango,3,307
2009,departamento,Chimaltenango,4,269
2009,departamento,Chimaltenango,5,378
2009,departamento,Chimaltenango,6,362
2009,departamento,Chimaltenango,7,240
2009,departamento,Chimaltenango,8,207
2009,departamento,Chimaltenango,9,131
2009,departamento,Chimaltenango,10,188
2009,departamento,Chimaltenango,11,128
2009,departamento,Chimaltenango,12,331
2009,departamento,Chimaltenango,,3099
2009,departamento,Chiquimula,1,281
2009,departamento,Chiquimula,2,178
2009,departamento,Chiquimula,3,208
2009,departamento,Chiquimula,4,171
2009,departamento,Chiquimula,5,95
2009,departamento,Chiquimula,6,128
2009,departamento,Chiquimula,7,91
2009,departamento,Chiquimula,8,94
2009,departamento,Chiquimula,9,69
2009,departamento,Chiquimula,10,111
2009,departamento,Chiquimula,11,172
2009,departamento,Chiquimula,12,168
2009,departamento,Chiquimula,,1766
2009,departamento,El Progreso,1,81
2009,departamento,El Progreso,2,102
2009,departamento,El Progreso,3,79
2009,departamento,El Progreso,4,60
2009,departamento,El Progreso,5,71
2009,departamento,El Progreso,6,36
2009,departamento,El Progreso,7,69
2009,departamento,El Progreso,8,50
2009,departamento,El Progreso,9,39
2009,departamento,El Progreso,10,71
2009,departamento,El Progreso,11,42
2009,departamento,El Progreso,12,86
2009,departamento,El Progreso,,786
2009,departamento,Escuintla,1,234
2009,departamento,Escuintla,2,319
2009,departamento,Escuintla,3,307
2009,departamento,Escuintla,4,255
2009,departamento,Escuintla,5,284
2009,departamento,Escuintla,6,252
2009,departamento,Escuintla,7,200
2009,departamento,Escuintla,8,213
2009,departamento,Escuintla,9,122
2009,departamento,Escuintla,10,223
2009,departamento,Escuintla,11,215
2009,departamento,Escuintla,12,235
2009,departamento,Escuintla,,2859
2009,departamento,Guatemala,1,1008
2009,departamento,Guatemala,2,1191
2009,departamento,Guatemala,3,1190
2009,departamento,Guatemala,4,970
2009,departamento,Guatemala,5,1184
2009,departamento,Guatemala,6,1329
2009,departamento,Guatemala,7,824
2009,departamento,Guatemala,8,846
2009,departamento,Guatemala,9,608
2009,departamento,Guatemala,10,841
2009,departamento,Guatemala,11,785
2009,departamento,Guatemala,12,1048
2009,departamento,Guatemala,,11824
2009,departamento,Huehuetenango,1,454
2009,departamento,Huehuetenango,2,267
2009,departamento,Huehuetenango,3,622
2009,departamento,Huehuetenango,4,475
2009,departamento,Huehuetenango,5,407
2009,departamento,Huehuetenango,6,481
2009,departamento,Huehuetenango,7,383
2009,departamento,Huehuetenango,8,433
2009,departamento,Huehuetenango,9,376
2009,departamento,Huehuetenango,10,506
2009,departamento,Huehuetenango,11,453
2009,departamento,Huehuetenango,12,419
2009,departamento,Huehuetenango,,5276
2009,departamento,Izabal,1,200
2009,departamento,Izabal,2,144
2009,departamento,Izabal,3,103
2009,departamento,Izabal,4,104
2009,departamento,Izabal,5,73
2009,departamento,Izabal,6,93
2009,departamento,Izabal,7,97
2009,departamento,Izabal,8,130
2009,departamento,Izabal,9,48
2009,departamento,Izabal,10,82
2009,departamento,Izabal,11,135
2009,departamento,Izabal,12,67
2009,departamento,Izabal,,1276
2009,departamento,Jalapa,1,108
2009,departamento,Jalapa,2,122
2009,departamento,Jalapa,3,152
2009,departamento,Jalapa,4,160
2009,departamento,Jalapa,5,110
2009,departamento,Jalapa,6,115
2009,departamento,Jalapa,7,90
2009,departamento,Jalapa,8,71
2009,departamento,Jalapa,9,69
2009,departamento,Jalapa,10,100
2009,departamento,Jalapa,11,105
2009,departamento,Jalapa,12,87
2009,departamento,Jalapa,,1289
2009,departamento,Jutiapa,1,169
2009,departamento,Jutiapa,2,194
2009,departamento,Jutiapa,3,192
2009,departamento,Jutiapa,4,153
2009,departamento,Jutiapa,5,237
2009,departamento,Jutiapa,6,218
2009,departamento,Jutiapa,7,125
2009,departamento,Jutiapa,8,143
2009,departamento,Jutiapa,9,147
2009,departamento,Jutiapa,10,117
2009,departamento,Jutiapa,11,92
2009,departamento,Jutiapa,12,268
2009,departamento,Jutiapa,,2055
2009,departamento,Petén,1,143
2009,departamento,Petén,2,153
2009,departamento,Petén,3,150
2009,departamento,Petén,4,154
2009,departamento,Petén,5,203
2009,departamento,Petén,6,92
2009,departamento,Petén,7,97
2009,departamento,Petén,8,83
2009,departamento,Petén,9,95
2009,departamento,Petén,10,201
2009,departamento,Petén,11,126
2009,departamento,Petén,12,159
2009,departamento,Petén,,1656
2009,departamento,Quetzaltenango,1,360
2009,departamento,Quetzaltenango,2,374
2009,departamento,Quetzaltenango,3,343
2009,departamento,Quetzaltenango,4,187
2009,departamento,Quetzaltenango,5,319
2009,departamento,Quetzaltenango,6,190
2009,departamento,Quetzaltenango,7,179
2009,departamento,Quetzaltenango,8,259
